date;day;month;quarter;year;week_of_year;day_of_week;is_weekend
2018-10-25;25;10;4;2018;43;4;False
2018-10-26;26;10;4;2018;43;5;False
2018-10-27;27;10;4;2018;43;6;True
2018-10-28;28;10;4;2018;43;7;True
2018-10-29;29;10;4;2018;44;1;False
2018-10-30;30;10;4;2018;44;2;False
2018-10-31;31;10;4;2018;44;3;False
2018-11-01;1;11;4;2018;44;4;False
2018-11-02;2;11;4;2018;44;5;False
2018-11-03;3;11;4;2018;44;6;True
2018-11-04;4;11;4;2018;44;7;True
2018-11-05;5;11;4;2018;45;1;False
2018-11-06;6;11;4;2018;45;2;False
2018-11-07;7;11;4;2018;45;3;False
2018-11-08;8;11;4;2018;45;4;False
2018-11-09;9;11;4;2018;45;5;False
2018-11-10;10;11;4;2018;45;6;True
2018-11-11;11;11;4;2018;45;7;True
2018-11-12;12;11;4;2018;46;1;False
2018-11-13;13;11;4;2018;46;2;False
2018-11-14;14;11;4;2018;46;3;False
2018-11-15;15;11;4;2018;46;4;False
2018-11-16;16;11;4;2018;46;5;False
2018-11-17;17;11;4;2018;46;6;True
2018-11-18;18;11;4;2018;46;7;True
2018-11-19;19;11;4;2018;47;1;False
2018-11-20;20;11;4;2018;47;2;False
2018-11-21;21;11;4;2018;47;3;False
2018-11-22;22;11;4;2018;47;4;False
2018-11-23;23;11;4;2018;47;5;False
2018-11-24;24;11;4;2018;47;6;True
2018-11-25;25;11;4;2018;47;7;True
2018-11-26;26;11;4;2018;48;1;False
2018-11-27;27;11;4;2018;48;2;False
2018-11-28;28;11;4;2018;48;3;False
2018-11-29;29;11;4;2018;48;4;False
2018-11-30;30;11;4;2018;48;5;False
2018-12-01;1;12;4;2018;48;6;True
2018-12-02;2;12;4;2018;48;7;True
2018-12-03;3;12;4;2018;49;1;False
2018-12-04;4;12;4;2018;49;2;False
2018-12-05;5;12;4;2018;49;3;False
2018-12-06;6;12;4;2018;49;4;False
2018-12-07;7;12;4;2018;49;5;False
2018-12-08;8;12;4;2018;49;6;True
2018-12-09;9;12;4;2018;49;7;True
2018-12-10;10;12;4;2018;50;1;False
2018-12-11;11;12;4;2018;50;2;False
2018-12-12;12;12;4;2018;50;3;False
2018-12-13;13;12;4;2018;50;4;False
2018-12-14;14;12;4;2018;50;5;False
2018-12-15;15;12;4;2018;50;6;True
2018-12-16;16;12;4;2018;50;7;True
2018-12-17;17;12;4;2018;51;1;False
2018-12-18;18;12;4;2018;51;2;False
2018-12-19;19;12;4;2018;51;3;False
2018-12-20;20;12;4;2018;51;4;False
2018-12-21;21;12;4;2018;51;5;False
2018-12-22;22;12;4;2018;51;6;True
2018-12-23;23;12;4;2018;51;7;True
2018-12-24;24;12;4;2018;52;1;False
2018-12-25;25;12;4;2018;52;2;False
2018-12-26;26;12;4;2018;52;3;False
2018-12-27;27;12;4;2018;52;4;False
2018-12-28;28;12;4;2018;52;5;False
2018-12-29;29;12;4;2018;52;6;True
2018-12-30;30;12;4;2018;52;7;True
2018-12-31;31;12;4;2018;1;1;False
2019-01-01;1;1;1;2019;1;2;False
2019-01-02;2;1;1;2019;1;3;False
2019-01-03;3;1;1;2019;1;4;False
2019-01-04;4;1;1;2019;1;5;False
2019-01-05;5;1;1;2019;1;6;True
2019-01-06;6;1;1;2019;1;7;True
2019-01-07;7;1;1;2019;2;1;False
2019-01-08;8;1;1;2019;2;2;False
2019-01-09;9;1;1;2019;2;3;False
2019-01-10;10;1;1;2019;2;4;False
2019-01-11;11;1;1;2019;2;5;False
2019-01-12;12;1;1;2019;2;6;True
2019-01-13;13;1;1;2019;2;7;True
2019-01-14;14;1;1;2019;3;1;False
2019-01-15;15;1;1;2019;3;2;False
2019-01-16;16;1;1;2019;3;3;False
2019-01-17;17;1;1;2019;3;4;False
2019-01-18;18;1;1;2019;3;5;False
2019-01-19;19;1;1;2019;3;6;True
2019-01-20;20;1;1;2019;3;7;True
2019-01-21;21;1;1;2019;4;1;False
2019-01-22;22;1;1;2019;4;2;False
2019-01-23;23;1;1;2019;4;3;False
2019-01-24;24;1;1;2019;4;4;False
2019-01-25;25;1;1;2019;4;5;False
2019-01-26;26;1;1;2019;4;6;True
2019-01-27;27;1;1;2019;4;7;True
2019-01-28;28;1;1;2019;5;1;False
2019-01-29;29;1;1;2019;5;2;False
2019-01-30;30;1;1;2019;5;3;False
2019-01-31;31;1;1;2019;5;4;False
2019-02-01;1;2;1;2019;5;5;False
2019-02-02;2;2;1;2019;5;6;True
2019-02-03;3;2;1;2019;5;7;True
2019-02-04;4;2;1;2019;6;1;False
2019-02-05;5;2;1;2019;6;2;False
2019-02-06;6;2;1;2019;6;3;False
2019-02-07;7;2;1;2019;6;4;False
2019-02-08;8;2;1;2019;6;5;False
2019-02-09;9;2;1;2019;6;6;True
2019-02-10;10;2;1;2019;6;7;True
2019-02-11;11;2;1;2019;7;1;False
2019-02-12;12;2;1;2019;7;2;False
2019-02-13;13;2;1;2019;7;3;False
2019-02-14;14;2;1;2019;7;4;False
2019-02-15;15;2;1;2019;7;5;False
2019-02-16;16;2;1;2019;7;6;True
2019-02-17;17;2;1;2019;7;7;True
2019-02-18;18;2;1;2019;8;1;False
2019-02-19;19;2;1;2019;8;2;False
2019-02-20;20;2;1;2019;8;3;False
2019-02-21;21;2;1;2019;8;4;False
2019-02-22;22;2;1;2019;8;5;False
2019-02-23;23;2;1;2019;8;6;True
2019-02-24;24;2;1;2019;8;7;True
2019-02-25;25;2;1;2019;9;1;False
2019-02-26;26;2;1;2019;9;2;False
2019-02-27;27;2;1;2019;9;3;False
2019-02-28;28;2;1;2019;9;4;False
2019-03-01;1;3;1;2019;9;5;False
2019-03-02;2;3;1;2019;9;6;True
2019-03-03;3;3;1;2019;9;7;True
2019-03-04;4;3;1;2019;10;1;False
2019-03-05;5;3;1;2019;10;2;False
2019-03-06;6;3;1;2019;10;3;False
2019-03-07;7;3;1;2019;10;4;False
2019-03-08;8;3;1;2019;10;5;False
2019-03-09;9;3;1;2019;10;6;True
2019-03-10;10;3;1;2019;10;7;True
2019-03-11;11;3;1;2019;11;1;False
2019-03-12;12;3;1;2019;11;2;False
2019-03-13;13;3;1;2019;11;3;False
2019-03-14;14;3;1;2019;11;4;False
2019-03-15;15;3;1;2019;11;5;False
2019-03-16;16;3;1;2019;11;6;True
2019-03-17;17;3;1;2019;11;7;True
2019-03-18;18;3;1;2019;12;1;False
2019-03-19;19;3;1;2019;12;2;False
2019-03-20;20;3;1;2019;12;3;False
2019-03-21;21;3;1;2019;12;4;False
2019-03-22;22;3;1;2019;12;5;False
2019-03-23;23;3;1;2019;12;6;True
2019-03-24;24;3;1;2019;12;7;True
2019-03-25;25;3;1;2019;13;1;False
2019-03-26;26;3;1;2019;13;2;False
2019-03-27;27;3;1;2019;13;3;False
2019-03-28;28;3;1;2019;13;4;False
2019-03-29;29;3;1;2019;13;5;False
2019-03-30;30;3;1;2019;13;6;True
2019-03-31;31;3;1;2019;13;7;True
2019-04-01;1;4;2;2019;14;1;False
2019-04-02;2;4;2;2019;14;2;False
2019-04-03;3;4;2;2019;14;3;False
2019-04-04;4;4;2;2019;14;4;False
2019-04-05;5;4;2;2019;14;5;False
2019-04-06;6;4;2;2019;14;6;True
2019-04-07;7;4;2;2019;14;7;True
2019-04-08;8;4;2;2019;15;1;False
2019-04-09;9;4;2;2019;15;2;False
2019-04-10;10;4;2;2019;15;3;False
2019-04-11;11;4;2;2019;15;4;False
2019-04-12;12;4;2;2019;15;5;False
2019-04-13;13;4;2;2019;15;6;True
2019-04-14;14;4;2;2019;15;7;True
2019-04-15;15;4;2;2019;16;1;False
2019-04-16;16;4;2;2019;16;2;False
2019-04-17;17;4;2;2019;16;3;False
2019-04-18;18;4;2;2019;16;4;False
2019-04-19;19;4;2;2019;16;5;False
2019-04-20;20;4;2;2019;16;6;True
2019-04-21;21;4;2;2019;16;7;True
2019-04-22;22;4;2;2019;17;1;False
2019-04-23;23;4;2;2019;17;2;False
